PotLabel,Flat,Pos,Trt,11/11/2024,11/15/2024,11/18/2024,11/22/2024,11/25/2024,11/29/2024,12/2/2024,12/6/2024,12/9/2024,12/13/2024,12/16/2024,12/20/2024,12/23/2024,12/27/2024,12/30/2024,1/3/2025,1/6/2025,1/10/2025,1/13/2025,1/17/2025,1/20/2024,1/24/2025,1/27/2025,1/31/2025,2/3/2025,2/7/2025,2/10/2025,2/14/2025,2/17/2025,2/21/2025,Notes5,2/24/2025,2/28/2025,Notes6
926-3-C,10,12,Cur,2,4,4,4,6,6,8,9,11,13,15,16,Skipped due to break ,Skipped due to break,22,24,24,28,31,34,35,36,39,46,50,Removed,Removed,,,,,,,
114-3-C,11,24,Cur,,,,,0,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
933-3-C,11,30,Cur,2,4,4,5,7,7,10,10,11,14,16,19,Skipped due to break ,Skipped due to break,27,27,28,31,32,36,40,44,51,59,63,66,Removed,,,,,,,
903-3-C,12,18,Cur,2,4,4,6,7,8,8,10,11,13,16,18,Skipped due to break ,Skipped due to break,21,24,28,29,29,32,33,39,46,56,61,62,Removed,,,,,,,
115-3-C,13,6,Cur,,,,,8,8,9,11,13,14,18,18,Skipped due to break ,Skipped due to break,24,24,27,31,32,36,37,47,Removed,Removed ,Removed,Removed,Removed,,,,,,,
107-3-C,13,25,Cur,,,,,,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
902-3-C,13,30,Cur,2,4,4,6,7,8,9,9,12,14,16,18,Skipped due to break ,Skipped due to break,24,26,30,32,33,36,38,42,44,52,54,Removed,Removed,,,,,,,
921-3-C,14,1,Cur,2,4,4,6,6,7,8,8,9,16,17,19,Skipped due to break ,Skipped due to break,26,26,29,31,32,35,41,41,43,49,51,51,Removed,,,,,,,
105-3-C,14,2,Cur,0,0,0,0,0,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
102-3-C,14,9,Cur,,,,,,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
112-20-C,15,2,Cur,2,4,5,7,7,9,10,12,14,17,20,22,Skipped due to break ,Skipped due to break,29,31,31,35,38,40,40,44,48,60,66,Removed,Removed,,,,,,,
910-3-C,15,7,Cur,2,4,5,6,7,8,9,10,12,15,18,19,Skipped due to break ,Skipped due to break,26,27,30,32,33,36,37,39,45,50,50,50,53,,,,,,,
105-3-F,2,23,Fut,2,4,5,6,7,9,10,12,14,16,19,23,Skipped due to break ,Skipped due to break,27,29,32,35,36,39,40,45,47,54,Removed,Removed,Removed,,,,,,,
107-3-F,3,25,Fut,0,0,0,0,0,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
115-3-F,4,23,Fut,,,,,11,11,14,17,18,23,25,29,Skipped due to break ,Skipped due to break,33,37,41,43,44,46,48,52,57,Removed ,Removed,Removed,Removed,,,,,,,
937-3-F,4,27,Fut,2,4,6,8,10,13,15,15,19,25,26,30,Skipped due to break ,Skipped due to break,37,43,44,50,50,52,57,59,63,69,73,Removed,Removed,,,,,,,
112-20-F,4,29,Fut,2,4,8,10,11,15,17,19,20,26,29,32,Skipped due to break ,Skipped due to break,36,44,45,46,51,54,56,57,60,62,62,Removed,Removed,,,,,,,
947-18-F,5,6,Fut,2,4,6,8,9,11,13,14,17,21,23,25,Skipped due to break ,Skipped due to break,32,35,37,40,44,46,48,51,59,62,64,64,66,,,,,,,
926-3-F,5,18,Fut,4,6,7,8,10,14,16,16,19,23,27,28,Skipped due to break ,Skipped due to break,36,40,41,44,48,52,52,54,60,61,62,Removed,Removed,,,,,,,
913-3-F,5,21,Fut,4,5,7,9,10,12,16,17,20,26,32,36,Skipped due to break ,Skipped due to break,48,46,48,52,58,60,64,67,75,79,87,Removed,Removed,,,,,,,
113-3-F,5,26,Fut,,,,,14,15,17,18,20,32,31,38,Skipped due to break ,Skipped due to break,46,47,51,54,56,60,65,66,Removed,Removed ,Removed,Removed,Removed,,,,,,,
921-3-F,5,31,Fut,4,6,7,10,12,15,16,19,21,28,35,35,Skipped due to break ,Skipped due to break,40,43,45,48,51,53,56,59,64,Removed ,Removed,Removed,Removed,,,,,,,
910-3-F,6,11,Fut,4,4,6,8,9,14,14,17,19,25,27,32,Skipped due to break ,Skipped due to break,42,43,45,49,54,56,58,60,67,75,79,79,82,,,,,,,
104-3-F,6,12,Fut,4,6,7,10,12,14,17,18,21,28,30,34,Skipped due to break ,Skipped due to break,41,45,45,49,51,53,Removed,Removed,Removed,Removed,Removed,Removed,Removed,,,,,,,
943-3-F,6,14,Fut,2,4,6,7,8,11,11,11,13,16,18,21,Skipped due to break ,Skipped due to break,26,29,31,33,35,36,38,42,47,51,54,Removed,Removed,,,,,,,
933-3-F,7,21,Fut,2,4,6,8,9,11,13,13,16,28,32,32,Skipped due to break ,Skipped due to break,43,42,46,51,55,60,61,64,66,71,74,79,80,,,,,,,
108-3-F,8,20,Fut,4,4,6,8,10,13,14,16,20,30,32,33,Skipped due to break ,Skipped due to break,36,41,41,45,47,49,52,56,59,Removed ,Removed,Removed,Removed,,,,,,,
101-3-F,8,27,Fut,4,6,7,9,11,13,14,19,23,30,35,37,Skipped due to break ,Skipped due to break,44,47,47,51,53,57,61,66,Removed,Removed ,Removed,Removed,Removed,,,,,,,
903-3-F,9,18,Fut,4,4,7,8,10,12,15,15,18,22,24,26,Skipped due to break ,Skipped due to break,32,35,37,42,47,49,52,57,63,72,76,Removed,Removed,,,,,,,
114-3-F,9,29,Fut,,,,,0,0,0,0,0,0,0,0,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,,,,,,,
102-3-F,10,7,Fut,0,2,4,6,7,8,10,11,11,15,18,18,Skipped due to break ,Skipped due to break,24,25,27,31,34,36,39,Removed,Removed,Removed ,Removed,Removed,Removed,,,,,,,
902-3-F,10,16,Fut,4,6,7,9,11,13,16,18,21,33,38,41,Skipped due to break ,Skipped due to break,49,53,54,60,62,63,68,72,79,83,83,Removed,Removed,,,,,,,
103-3-F,12,7,Fut,4,5,7,9,10,13,17,18,20,26,27,29,Skipped due to break ,Skipped due to break,34,38,40,45,45,47,50,Removed,Removed,Removed ,Removed,Removed,Removed,,,,,,,
111-3-F,13,7,Fut,,,,,7,8,9,10,11,14,17,18,Skipped due to break ,Skipped due to break,21,26,28,30,34,35,39,42,45,49,Removed,Removed,Removed,,,,,,,
905-3-F,14,15,Fut,4,5,6,8,10,13,14,15,17,25,31,32,Skipped due to break ,Skipped due to break,41,45,50,55,56,59,64,69,77,84,88,Removed,Removed,,,,,,,
942-3-F,15,31,Fut,4,5,7,9,13,13,15,16,18,25,27,27,Skipped due to break ,Skipped due to break,35,37,39,43,46,48,51,52,55,57,65,72,76,,,,,,,
